hello 你好
world 世界
apple 苹果
banana 香蕉
orange 橙子
grape 葡萄
water 水
food 食物
rice 米饭
noodle 面条
beef 牛肉
chicken 鸡肉
fish 鱼
egg 鸡蛋
milk 牛奶
coffee 咖啡
tea 茶
book 书
student 学生
teacher 老师
school 学校
computer 计算机
keyboard 键盘
mouse 鼠标
screen 屏幕
phone 手机
network 网络
protocol 协议
socket 套接字
server 服务器
client 客户端
port 端口
ip 网络地址
address 地址
bind 绑定
send 发送
receive 接收
message 消息
data 数据
buffer 缓冲区
packet 数据报
request 请求
response 响应
function 函数
callback 回调
class 类
object 对象
string 字符串
pointer 指针
memory 内存
thread 线程
process 进程
linux Linux
shell 命令行
compile 编译
debug 调试
error 错误
success 成功
failure 失败
open 打开
close 关闭
read 读取
write 写入
file 文件
directory 目录
project 项目
code 代码
test 测试
start 启动
stop 停止
init 初始化
translate 翻译
dictionary 词典
unknown 未知
find 查找
insert 插入
delete 删除
update 更新
search 搜索
map 映射
hash 哈希
queue 队列
stack 栈
tree 树
database 数据库
table 表
index 索引
login 登录
logout 退出登录
user 用户
password 密码
admin 管理员
service 服务
system 系统
kernel 内核
host 主机
remote 远程
local 本地
public 公共
private 私有
safe 安全
fast 快速
slow 缓慢
